Company,Title,Disc,Link
MathPlan,Werkstudent*in Software-Developer (w/d/m),"MathPlan ist ein ist ein dynamisches Softwareunternehmen, das auf das automatisierte Ressourcenmanagement an Hochschulen spezialisiert ist. Seit der Gründung als Spin-Off der TU Berlin entwickeln wir innovative Software und definieren den Stand der Technik im Bereich „University Timetabling“. Unsere Software ist an einigen der größten Universitäten, Hochschulen und medizinischen Fakultäten in Deutschland, der Schweiz und...",https://berlinstartupjobs.com/companies/mathplan/
MathPlan,Software Developer (w/d/m),"Software Developer (w/d/m)  MathPlan ist ein ist ein dynamisches Softwareunternehmen, das auf das automatisierte Ressourcenmanagement an Hochschulen spezialisiert ist. Seit der Gründung als Spin-Off der TU Berlin entwickeln wir innovative Software und definieren den Stand der Technik im Bereich „University Timetabling“.   Unsere Software ist an einigen der größten Universitäten, Hochschulen und medizinischen Fakultäten in Deutschland,...",https://berlinstartupjobs.com/companies/mathplan/
alcemy,(Senior) Embedded System Engineer/IoT Architect (f/m/d),"Über alcemy alcemy wurde gegründet, um den massiven CO2-Fußabdruck der Zement- und Betonindustrie zu verringern. Beton ist gemessen am Volumen das am zweithäufigsten verwendete Material der Welt und ist für 8% der globalen CO2-Emissionen verantwortlich. Mit alcemy können wir das ändern! Unsere intelligente Produktionssteuerungsoftware ermöglicht es, Beton und Zement mit der Präzision herzustellen, die für die nachhaltigen...",https://berlinstartupjobs.com/companies/alcemy/
xymatic,Technical Project Manager (full-time),"About xymatic Our mission is to simplify and unify video publishing. With our innovative tools and products, we aim to give every publisher the opportunity to unlock the full potential of their video strategy and achieve outstanding results. As a Technical Project Manager, you will act as the interface between our publishers and our development teams....",https://berlinstartupjobs.com/companies/xymatic/
Visier,Senior Software Developer,"Visier is the leader in people analytics and we believe in a ‘people-first’ approach to business strategy. Our innovative technology transforms the way that organisations make decisions, allowing them to elevate their employees and drive better business outcomes.  Embarking on an exciting new chapter in our growth story, we are looking for talented individuals who can...",https://berlinstartupjobs.com/companies/visier/
Tandem,Senior Backend Engineer (PHP / GO),"About Tandem Tandem is the leading global language learning community, where more than 20 million members from over 180 countries practice languages together. The concept of learning from each other is not only an integral part of the Tandem community but it is also at the heart of our everyday lives at Tandem. This shared...",https://berlinstartupjobs.com/companies/tandem/
Climate Labs,(Senior) Backend Engineer (Kotlin/Java),"What if you could literally change the face of the earth? One global rewilding mission at a time. That’s what we do at Planet Wild. Planet Wild is a series A-funded, B-corp-certified, environmental startup from Berlin. But more importantly, it’s a global community that uses the power of digital storytelling to fix our planet – IRL....",https://berlinstartupjobs.com/companies/climate-labs/
NEXT BASKET,Software Architect (e-Commerce),"Software Architect – B2B E-Commerce Platform Are You Ready to Shape the Future of E-Commerce Technology? We are Next Basket, a pioneering B2B e-commerce provider, and we’re on the lookout for an exceptional Software Architect to lead the design and architecture of our next-generation platform. If you’re passionate about building scalable, high-performance software systems and...",https://berlinstartupjobs.com/companies/next-basket/
Agenta,Founding Product Engineer (Frontend),"About Us: Agenta is an open-source LLM developer platform. We help teams build reliable LLM powered applications such as chatbots or agents. Our product provides the necessary tools for collaboration and building reliable LLM applications: prompt management, evaluation and testing, and observability. We are an open-source company with strong traction and paying customers, backed by...",https://berlinstartupjobs.com/companies/agenta/
Swisio,Software Implementation Consultant,"This position is meant for German speakers only with fluency in English. Swisio GmbH is Intus’ sister company. We are proud to support our clients in organizing their workforce management on many different levels such as sickness/absence registration, night shifts… and more! Now, we are looking for a Software Implementation Consultant who will support the implementation of our innovative...",https://berlinstartupjobs.com/companies/swisio/
Prisma,Senior Software Engineer (Rust),"At Prisma, we are building the data layer for modern applications. If you are fascinated by the leading-edge architecture and technology used in today’s data-intensive, highly scalable software systems, with distributed graph data on a massive scale, but you want the energy, challenges, and freedom that come with working in a small startup, then a...",https://berlinstartupjobs.com/companies/prisma/
Solarize,Senior Software Engineer – Node.js (m/f/d),Solarize is an early stage startup driven by a team with extensive experience in B2B Software as a Service. Our mission is to streamline the billing of electricity deliveries in commercial tenant power and microgrid projects through automation. We are committed to advancing the energy transition by working towards a future where every building can...,https://berlinstartupjobs.com/companies/solarize/
Latana,Senior Data Engineer,"About us We are Latana, a leading brand insights company focused on capturing the $18 Billion+ brand tracking market. Put simply, Latana gives brands the tools to make better marketing and campaign decisions by giving them world-class insights about their brand performance. In its short existence, Latana has already started working with some of the...",https://berlinstartupjobs.com/companies/latana/
EIDU,Software Engineer(s),"We believe that all children should be given the chance to reach their full potential. However, more than 600 million children in the world do not achieve foundational skills like literacy and basic numeracy – despite the majority of them going to school. At EIDU, we are creating the next-generation ed-tech platform for children in...",https://berlinstartupjobs.com/companies/eidu/
Spherity,Software Engineer (m/f/d),"YOUR MISSION Experiences that will serve you a life-time. Work on cutting-edge digital identity solutions, some in research, others in product stage. Developing E2E solutions for organizations in different regulated industries. Working with national and international clients and collaboration partners. Projects that do not only harness your strengths and existing skills but also push you...",https://berlinstartupjobs.com/companies/spherity/
doctari,IT Systemadministrator (m/w/d),"Über uns Mit dem Zuwachs der Tochterunternehmen Planerio und lichtfeld wurde im Sommer 2021 die doctari group ins Leben gerufen. Gemeinsam sorgen wir dafür, dass medizinisches Personal dort ist, wo es am dringendsten gebraucht wird. Und dies mit insgesamt mehr als 500 Mitarbeitenden an acht Standorten und einem großen Teamspirit! Bei unserer 1. umfassenden Mitarbeitenden-Befragung...",https://berlinstartupjobs.com/companies/doctari/
Komoot,Senior iOS Developer,"About komoot Komoot is an app that lets you find, plan, and share adventures with its easy route planner. Driven by a love for nature and powered by the outdoor community’s recommendations, komoot helps you explore more of the great outdoors—wherever and however you want. And we’re good at it. Google and Apple have listed...",https://berlinstartupjobs.com/companies/komoot/
Affilimate,Senior Fullstack Engineer (TypeScript – Remote),"TL;DR We’re an early stage martech and analytics company with a remote team, headquartered in Berlin, Germany. 7+ years of professional experience is ideal for this role. You’ll be joining a small but experienced engineering team. Our codebase is TypeScript on the frontend and backend. There’s a wide variety of projects to work on and...",https://berlinstartupjobs.com/companies/affilimate/
mediaire,Senior Software Engineer,"WHO WE ARE We are a Berlin-based medtech startup dedicated to building AI-powered software that supports radiologists with their daily work: ​analyzing medical images. Our applications for identifying Alzheimer\’s, multiple sclerosis, aneurysms and cancer from MRI scans are already on the market and quickly gaining traction. Crucial for our success is the seamless integration of...",https://berlinstartupjobs.com/companies/mediaire/
Kaiko Systems,Senior Fullstack Engineer (f/m/d),"Transform operations on the frontline of a key global key industry – shipping – as a Senior Engineer at Kaiko Systems. Shipping is an industry on the brink of disruption. Many other major global industries already went through fundamental changes, and logistics as the backbone of global trade is next. We at Kaiko are dedicated...",https://berlinstartupjobs.com/companies/kaiko-systems/
Prisma,Software Engineer,"At Prisma, we are building the data layer for modern applications. If you are fascinated by the leading-edge architecture and technology used in today’s data-intensive, highly scalable software systems, with distributed graph data on a massive scale, but you want the energy, challenges, and freedom that come with working in a small startup, then a...",https://berlinstartupjobs.com/companies/prisma/
Latana,"Staff Software Engineer, Backend","The journey that awaits you As Staff Software Engineer, you will work closely with your fellow engineers, your Engineering Manager and members of the Product team to deliver top notch software as part of a rapidly-growing company. Some tools we currently use include Ruby, Rails, React, PostgreSQL, Kubernetes and various AWS Serverless components. More important...",https://berlinstartupjobs.com/companies/latana/
Pliant,Software Engineer – Infrastructure *remote* (m/f/d),"ABOUT US Since 2020, Pliant has been on a mission to rethink credit cards and empower companies to grow by providing a smart way to pay that scale with their business. With our app and API-based solutions, Pliant allows companies to issue physical and virtual credit cards, automate payment processes, track spending, and seamlessly integrate...",https://berlinstartupjobs.com/companies/pliant/
